500 1500
261 182 3473
469 458 3388
372 95 1944
229 170 2559
12 99 4448
154 12 2596
491 309 8120
91 13 5886
23 133 1215
67 158 3180
113 194 9152
154 250 608
437 492 4890
228 51 870
287 99 6384
253 369 9121
46 308 5830
395 386 2493
305 170 2112
250 13 4250
368 260 8344
476 351 4960
378 246 2300
331 306 8270
255 294 1080
21 16 3087
262 220 4080
111 95 5940
52 344 1190
65 357 6440
298 400 1163
469 119 6543
295 437 7140
289 485 6744
263 231 7600
274 383 4740
424 96 7952
377 89 3356
187 333 5600
205 126 6307
278 247 9285
499 311 8924
444 14 2473
417 391 3119
415 4 5050
482 194 9800
384 365 4429
234 175 3978
115 436 237
159 8 4230
25 365 8123
304 214 8063
385 373 5840
81 2 2650
88 79 6328
242 457 150
284 262 3872
126 71 1555
78 351 9840
121 274 5920
286 22 8776
395 21 6049
454 325 7344
142 165 1445
477 120 7572
5 31 7584
31 12 1450
198 251 3834
336 68 5104
47 34 5077
145 35 4080
232 336 2886
227 140 1840
171 144 1938
154 320 4928
317 347 9561
373 352 6036
420 344 7635
233 93 7723
122 122 4012
213 29 8260
243 132 1839
48 417 2929
499 331 584
65 8 8257
106 165 5062
210 110 6640
243 11 5184
36 70 3429
329 142 1472
340 389 9325
441 226 7582
362 48 7840
142 361 9426
279 176 2332
103 307 2292
99 95 1232
320 393 2121
184 48 3968
51 395 9100
5 320 9024
277 200 5900
114 177 7368
426 401 4494
463 103 9014
88 193 8468
293 197 1964
261 19 4281
378 45 5036
362 366 5222
317 53 6692
17 199 6380
492 250 1570
120 444 4091
175 335 3952
318 39 8830
151 451 3392
72 42 9600
61 100 9880
316 47 589
344 84 5714
307 126 272
128 86 3065
92 253 7522
155 81 2104
125 334 6088
351 425 4266
390 334 2954
381 400 612
229 332 8065
39 14 3826
122 63 2292
423 131 8555
145 458 5081
27 23 7920
139 376 4851
425 390 8528
496 33 664
434 332 8898
212 110 7689
156 25 4804
30 125 7460
305 5 6264
418 153 1840
285 158 5414
471 15 1120
25 23 788
15 12 6301
309 403 7936
442 71 8238
11 489 7936
372 443 6797
61 46 7927
351 30 7487
102 17 7868
299 50 8214
173 11 7905
25 50 4104
142 460 7600
415 105 8124
129 471 3904
187 500 6736
432 467 8900
78 147 3247
201 4 1852
473 309 3346
459 496 1904
398 219 2646
93 440 4380
302 378 6608
142 224 600
365 273 5276
385 357 465
419 192 1458
237 152 2168
18 279 3378
238 18 7690
244 430 6048
254 94 9725
183 63 3666
75 13 1760
229 488 3396
132 138 849
53 339 4431
209 176 2380
312 201 5415
32 338 7820
357 417 7568
268 65 900
409 241 6576
355 189 2864
407 474 6233
387 280 5928
349 441 1519
424 270 504
442 365 954
394 126 6256
301 303 172
249 54 8360
16 3 488
89 81 58
425 479 3428
173 12 9613
87 204 7670
225 51 8620
30 493 2979
254 67 3224
370 71 3132
499 421 744
105 173 5686
246 205 8010
256 168 80
316 171 9636
376 161 8952
299 82 681
364 246 9611
368 339 6392
37 19 5322
26 6 7852
101 71 225
431 198 2700
70 486 4892
190 132 2392
370 73 6270
109 98 2125
93 96 8094
381 50 6420
139 64 7544
48 38 4630
274 112 8440
325 483 6720
125 206 4381
35 15 9593
13 11 6236
451 146 9100
105 66 9955
13 113 7185
194 96 4860
440 342 2596
376 345 6924
393 43 6731
246 186 9904
206 35 4943
443 52 9760
50 269 2316
477 344 5305
124 122 1002
182 72 315
334 113 596
265 97 8293
163 55 1870
367 224 4725
209 18 9816
262 117 4416
51 393 7626
157 104 176
18 33 6680
321 21 1480
314 149 3475
424 151 2980
359 295 3807
435 190 600
19 11 6447
244 409 876
295 23 9759
493 392 4855
354 382 8000
347 180 5730
97 358 1840
296 398 7250
73 326 6584
19 437 816
486 92 1464
160 76 2700
179 7 3698
370 480 8320
437 214 3064
166 65 4202
33 52 702
290 157 9550
201 189 6552
229 388 6495
2 288 2385
469 453 8267
247 40 5384
269 489 722
358 483 7910
328 365 5784
367 197 5764
320 70 4430
189 486 2682
77 19 5964
499 176 9165
424 186 8200
356 106 5036
384 173 9928
448 149 5570
224 113 970
50 175 4521
482 321 7520
320 366 6086
416 51 8290
106 28 6130
67 477 2720
132 26 6412
175 140 5179
127 118 9805
489 109 4338
129 140 7633
248 181 540
481 392 6870
70 44 2780
315 96 2752
454 83 4839
187 266 2000
491 275 961
313 167 3410
391 105 7735
481 4 7760
156 153 4024
190 325 6516
313 153 7726
425 413 78
105 418 8925
12 8 6160
199 44 18
262 186 872
317 293 2200
187 144 8046
74 279 2904
338 180 3098
337 23 1055
224 25 98
356 284 2328
453 254 5184
133 287 4001
119 46 1760
132 253 9734
217 165 6575
242 32 846
289 60 8876
471 367 5080
414 265 105
319 112 8533
453 245 3000
273 126 3152
307 383 2660
414 110 540
433 418 1008
440 435 6282
46 1 6176
492 434 7100
131 367 6288
472 484 9888
282 89 7960
69 23 7710
302 391 7465
196 87 3872
154 392 8639
369 285 1837
56 167 5828
296 316 3333
7 4 7400
165 80 96
330 196 4506
73 13 4720
260 13 2191
371 150 4440
248 52 5600
404 8 606
164 475 9038
288 232 3000
102 312 1008
31 140 6500
386 141 5127
378 335 5918
394 60 2056
444 208 9600
258 47 6344
353 35 7001
494 393 7760
272 63 0
333 37 5080
334 324 4820
173 309 7944
298 44 6471
100 286 5494
178 377 9090
82 27 7848
6 85 5840
174 33 8161
244 343 8540
278 224 2544
405 54 6560
452 348 4540
401 306 8876
397 363 50
493 228 7702
458 143 3832
260 91 1916
276 39 3320
264 13 5841
141 88 2248
185 100 9982
306 277 5984
266 186 7212
334 456 4794
38 28 7696
304 82 1746
468 228 8218
201 54 2732
484 263 2992
88 99 8224
434 252 8522
36 160 2328
311 408 4744
407 130 4308
491 471 325
334 133 3706
172 128 6112
438 89 9788
370 152 3132
68 265 5645
215 23 944
220 192 9432
199 339 1092
341 267 278
457 154 9960
474 319 6782
361 155 3432
267 445 2840
132 147 5275
168 155 176
416 102 933
173 195 4700
25 268 152
129 451 7036
91 468 6037
161 103 2202
292 5 7099
449 326 7212
50 344 4520
123 32 252
6 1 8454
489 114 8844
429 49 5547
438 8 7350
158 123 3722
236 196 533
48 34 8952
46 93 8142
272 47 5990
381 92 9700
325 63 8444
55 470 3196
414 37 812
222 450 5225
446 140 8552
40 32 5081
33 303 9410
100 306 2900
226 48 5324
169 291 5407
490 355 8162
92 87 5274
92 268 7572
421 385 8351
156 70 7938
419 391 2784
466 274 4811
271 177 6020
260 448 4150
294 169 4584
51 390 2980
216 60 6087
234 44 9497
14 7 5200
133 428 2325
317 151 3350
166 322 3955
279 160 5763
256 171 5879
121 66 2995
234 281 3346
324 70 6422
394 312 6274
447 382 6336
289 499 3477
62 47 5597
234 85 2600
493 469 6634
189 124 2823
323 444 5934
106 268 1660
403 11 1730
94 3 192
422 405 9404
168 156 3734
449 368 244
500 51 4653
204 220 5608
259 8 9350
52 131 9408
252 69 2418
31 293 5347
397 35 4989
410 9 693
384 289 4431
478 59 9610
228 379 3142
280 278 7216
18 89 3280
440 190 170
271 30 4858
241 72 5678
11 10 9240
36 158 9286
264 52 8666
192 60 7091
42 10 7364
275 247 1554
56 107 9300
141 402 8905
479 39 8500
387 250 6125
191 131 5172
36 411 9134
180 53 4795
172 40 294
97 108 1928
445 410 5104
486 483 8885
238 75 5278
30 5 8212
24 355 8354
200 194 643
132 145 1888
299 179 8350
10 8 4184
234 57 2170
446 117 3204
476 338 1412
34 408 3770
488 289 2041
396 94 60
313 322 4351
202 110 28
402 305 6670
24 17 9830
367 187 5238
479 390 3283
461 290 7908
136 128 9920
299 281 5280
382 162 1818
152 134 618
300 164 2948
43 355 596
28 22 5484
51 314 8664
79 391 8490
164 291 4160
160 12 4062
338 398 9613
100 66 4606
112 29 4650
191 436 1690
15 319 5010
366 271 5315
298 358 1928
214 213 3784
137 105 5456
377 402 3264
357 181 7308
130 286 7224
417 290 3722
471 129 7734
130 123 2259
117 104 2508
8 6 2200
136 466 9888
242 109 3110
303 426 8832
117 28 2670
202 366 2132
193 163 6696
464 65 3331
63 14 8208
470 400 4942
265 412 836
299 249 2720
445 218 9865
151 125 1549
37 336 5062
399 204 3306
406 81 6412
86 82 3734
499 278 324
282 115 7982
333 337 3360
259 198 8726
97 341 2128
446 252 6479
458 355 2772
96 10 5070
241 369 5480
267 272 4984
45 42 483
108 41 1600
180 457 800
221 206 8465
203 86 5604
300 149 240
428 372 6378
161 71 2146
247 463 5072
70 426 8499
150 356 1472
15 61 3894
367 27 5952
40 392 6592
480 432 3704
410 272 9275
188 91 4124
393 151 5244
477 82 6960
484 426 2574
480 310 2773
64 221 184
230 378 5200
468 185 8712
182 76 9248
272 195 5601
68 49 1654
425 393 4320
122 175 2396
206 281 9072
480 214 498
416 181 3552
319 235 3156
435 342 250
500 329 4567
133 368 3124
441 135 1440
279 432 1317
145 66 3700
497 20 5404
202 99 836
417 92 5899
480 135 4865
358 209 3450
352 307 320
347 164 6449
493 464 6330
127 53 3049
93 87 5517
246 423 9766
337 372 2099
220 319 6208
90 11 9248
128 493 6172
35 136 2022
103 93 87
117 453 6633
56 80 7680
332 147 4058
40 367 6888
108 195 5261
398 319 4500
157 2 873
335 7 900
479 5 5076
232 44 1400
213 23 3956
232 417 6488
211 205 3600
144 3 5230
366 1 1518
411 278 1262
373 461 6937
489 75 3220
157 188 2595
177 45 5560
146 141 8420
248 430 232
38 48 8157
306 250 456
54 33 5718
435 465 7300
285 140 2578
186 72 8920
53 110 2013
85 81 4272
306 225 6448
237 423 9872
38 155 7790
270 384 725
29 19 8370
364 422 8875
237 230 150
346 199 2777
135 305 560
321 280 3842
155 420 8792
157 65 3923
413 475 6634
381 232 8225
262 346 9593
186 166 9712
3 191 1440
153 86 576
95 30 452
486 403 276
459 116 3943
333 202 4982
4 405 8269
142 158 8339
4 1 4093
145 77 8645
57 304 3106
124 493 7294
318 226 7654
86 43 8080
45 103 9812
161 98 1804
334 165 2859
291 213 8480
101 73 3909
437 92 5036
110 366 3619
388 385 5068
127 457 6336
130 283 9480
289 227 5530
202 123 1364
398 323 9450
76 245 3098
159 87 7200
170 438 2316
494 158 9710
307 448 1504
465 315 6828
458 438 7470
149 108 8960
346 173 7230
120 276 7890
292 193 1597
72 419 7632
23 1 2500
436 60 8800
77 419 7637
65 250 5728
310 341 519
204 96 7234
445 355 3670
166 213 5896
499 309 3008
308 22 7936
9 6 1029
374 74 5032
407 3 3144
105 491 580
48 20 8576
113 172 1901
294 130 9005
60 45 1160
400 11 2046
436 175 9580
17 163 4971
47 411 7984
456 13 3696
20 148 1476
195 357 9072
439 295 8684
412 385 7392
410 287 5600
490 310 7493
34 19 256
155 81 3194
64 201 397
477 66 9576
371 425 537
90 443 2397
147 124 4648
52 51 4557
377 187 1632
418 18 5144
59 19 9168
253 99 1470
417 320 240
135 22 5542
262 245 5299
54 136 6258
161 331 7186
293 178 6768
334 127 1648
487 400 8984
388 310 7144
460 359 3783
138 85 2094
485 362 3376
43 7 3275
181 55 9625
71 197 7616
326 309 9230
269 265 2903
244 210 6253
129 285 4814
467 228 9541
244 61 4099
125 78 9429
437 424 9134
262 121 4848
198 90 8160
383 160 1294
420 408 5122
32 7 1600
438 152 7263
360 418 5920
84 123 8148
62 183 5400
18 242 998
10 458 599
293 88 7164
109 6 556
327 240 8740
90 67 2720
360 342 30
297 286 8280
249 301 2288
268 270 8016
429 234 5966
455 254 5803
178 461 2350
349 122 4885
399 260 4380
249 124 7980
323 87 7020
327 258 202
162 18 8936
328 232 3996
283 168 6240
67 350 2985
408 201 4348
167 142 880
179 372 3780
114 27 9789
152 287 2570
104 19 7503
449 366 3290
149 422 4585
357 335 3100
205 270 8170
345 69 2843
143 70 7952
390 177 3238
493 346 9026
498 110 1986
471 338 2900
88 284 1905
389 190 7864
63 148 8370
251 214 8152
348 241 2400
461 222 3152
127 380 7250
133 127 1680
310 269 544
217 258 8200
391 112 8320
454 24 1157
465 1 22
362 19 4800
500 35 2642
270 145 9560
484 70 3524
259 415 7085
377 168 4595
338 42 1000
436 423 9824
54 57 4636
41 51 3188
358 301 5290
239 230 597
281 96 1488
16 12 6215
87 466 7172
456 16 9750
68 121 5584
84 249 8704
301 70 4296
489 75 3144
461 337 8720
446 468 4158
486 263 9000
309 51 9850
341 228 417
3 125 8209
207 176 4019
451 140 2692
87 216 6800
166 236 2619
3 460 254
13 147 4951
92 65 1698
101 392 9046
3 144 5140
3 2 1575
413 7 8179
217 489 5897
327 20 9800
151 270 8624
359 43 4112
98 18 4800
66 435 3209
28 338 750
320 69 9525
281 412 7159
384 97 9686
328 400 4408
160 370 9964
142 90 6240
238 260 6591
139 86 4008
365 319 9033
325 220 2764
237 162 7110
322 145 7000
132 38 3280
309 37 9773
143 223 2892
129 32 3750
427 272 7232
492 120 1792
171 204 2003
80 215 322
430 11 1120
303 221 8786
163 197 7610
208 156 1736
427 453 2784
51 18 4560
133 313 8775
291 58 9548
326 194 8800
85 267 767
470 285 3868
355 121 3447
58 2 3582
429 306 1825
324 468 9166
21 50 4342
268 177 9825
292 92 1100
104 59 39
453 302 7008
360 350 146
228 307 8912
213 139 5950
164 262 2488
432 327 8750
145 181 7295
327 263 2364
187 89 4496
269 124 5284
341 282 9478
409 435 8900
251 342 6010
71 211 3314
312 169 352
129 271 8500
459 166 1588
123 219 6995
454 90 7106
375 369 3890
157 156 7110
44 55 290
441 214 7272
208 10 9085
482 402 628
225 200 3908
118 56 9920
322 160 4480
219 95 8037
377 349 6766
158 246 6468
262 477 4224
210 492 6222
177 200 4768
487 374 4240
49 486 5603
499 38 8249
235 6 7186
329 449 6960
44 23 2998
220 343 6196
240 378 3490
72 336 4068
307 466 2952
308 119 2551
154 48 4586
417 498 4345
413 77 2338
9 19 5584
82 367 7470
447 85 9795
441 333 6338
472 370 8623
236 210 1577
357 9 8640
424 67 6626
269 84 1611
5 436 6224
76 62 7186
469 3 3101
124 473 9369
412 483 6675
64 155 3074
489 426 1004
375 431 7830
335 269 7104
355 283 8875
89 462 3440
478 136 2172
231 156 719
153 17 1600
29 105 7660
464 276 3210
316 292 8222
215 109 140
154 441 904
458 266 4420
104 468 2360
78 58 4368
215 206 4950
312 214 7660
413 240 8620
324 308 3948
490 71 6148
436 70 4244
120 27 6584
458 250 8624
85 33 7238
281 79 9762
361 198 8059
65 491 6312
457 357 4114
396 488 2140
424 481 4420
53 472 7388
462 370 3260
407 307 3570
21 470 4625
487 307 4862
451 225 7212
474 30 2340
343 92 6795
164 29 1212
500 13 7500
152 148 6679
50 7 6772
206 467 1617
335 178 432
374 435 9216
385 278 7303
243 140 6298
107 8 3717
148 12 6306
362 457 6670
484 325 2100
436 426 1744
151 6 4652
136 394 5904
41 33 2810
67 323 9814
22 219 7756
226 448 1993
56 391 2364
485 128 4738
180 64 4552
278 97 5006
42 439 8306
311 217 2828
275 319 9504
292 113 9812
1 38 6037
375 498 6807
339 65 2864
71 5 376
362 1 903
377 225 9704
183 421 1116
134 121 9824
380 317 5800
214 475 4080
92 230 8880
402 170 5740
86 436 2005
187 456 6554
329 135 9513
354 126 9328
240 189 8132
86 31 2174
418 74 8000
67 14 9178
80 418 4307
298 469 5484
204 415 8692
27 38 7024
5 174 9380
250 398 2523
389 192 5318
297 458 568
482 436 3084
71 408 3267
70 220 262
471 299 6706
6 308 6154
49 10 3405
126 75 6803
235 339 4556
97 88 1636
208 61 1796
492 271 7752
41 105 4156
393 484 8053
356 200 2808
472 356 5955
215 364 5034
174 151 1100
344 191 3075
157 209 538
7 378 7604
119 456 4560
355 92 4152
475 67 4500
361 452 7250
482 415 2075
428 404 4720
93 285 6654
335 272 8088
399 5 8680
457 269 9756
304 251 8135
27 417 3985
154 379 2478
257 84 1498
167 18 4902
41 322 9960
192 294 6102
366 317 4898
363 37 7002
396 215 4654
11 297 2400
87 173 4426
331 258 7522
392 439 5650
487 293 8376
345 462 2288
82 65 7873
36 4 7770
76 177 5148
136 104 96
64 35 9426
233 488 9400
340 235 9224
360 302 6570
148 135 9372
275 160 900
46 215 4954
81 327 8312
308 339 8436
473 285 3180
163 150 9842
220 20 8076
414 25 6625
437 234 3456
228 188 3455
198 21 5853
334 35 9958
237 225 7775
135 171 5932
127 292 2740
58 69 4000
9 46 2720
348 62 7618
8 325 7313
92 311 1572
311 232 6502
421 130 5950
358 40 3024
400 213 6416
471 30 1524
193 183 5305
177 268 6340
142 381 4688
229 8 6640
350 292 3560
483 88 8450
413 193 3612
381 84 9036
20 484 7912
337 1 4540
439 181 6911
500 101 1185
182 159 1250
291 184 7216
453 335 2224
142 56 7608
370 23 8174
488 326 4270
68 363 7094
335 103 8148
83 214 4500
110 440 9438
86 447 5004
154 348 3050
423 121 4706
329 361 3216
200 182 6958
27 90 1700
178 374 7922
164 404 5009
297 436 2630
307 168 1616
287 14 900
407 65 2042
451 13 3469
470 380 3564
276 213 8697
446 155 8816
212 157 7536
443 11 9414
218 90 5745
76 160 1434
464 374 520
47 301 2358
57 338 8745
167 235 5662
363 223 4055
134 227 8872
280 249 8519
110 45 2455
9 73 6924
